 ,,
03/18/2020,0.00%,0.00%
03/19/2020,200.00%,0.00%
03/20/2020,200.00%,0.00%
03/21/2020,0.00%,0.00%
03/22/2020,0.00%,0.00%
03/23/2020,22.22%,0.00%
03/24/2020,0.00%,0.00%
03/25/2020,0.00%,0.00%
03/26/2020,0.00%,0.00%
03/27/2020,0.00%,0.00%
03/28/2020,54.55%,0.00%
03/29/2020,0.00%,0.00%
03/30/2020,0.00%,0.00%
03/31/2020,17.65%,0.00%
04/01/2020,5.00%,0.00%
04/02/2020,0.00%,0.00%
04/03/2020,4.76%,100.00%
04/04/2020,9.09%,50.00%
05/04/2020,4.17%,33.33%
06/04/2020,24.00%,0.00%
07/04/2020,0.00%,0.00%
08/04/2020,3.23%,0.00%
09/04/2020,0.00%,0.00%
10/04/2020,9.38%,25.00%
11/04/2020,0.00%,0.00%
12/04/2020,0.00%,0.00%
13/04/2020,0.00%,0.00%
14/04/2020,0.00%,0.00%
15/04/2020,0.00%,0.00%
16/04/2020,25.71%,0.00%
17/04/2020,0.00%,0.00%
18/04/2020,22.73%,0.00%
19/04/2020,9.26%,40.00%
20/04/2020,6.78%,0.00%
21/04/2020,7.94%,28.57%
22/04/2020,1.47%,0.00%
23/04/2020,7.25%,11.11%
24/04/2021,14.86%,0.00%
25/04/2020,14.12%,0.00%
26/04/2020,8.25%,50.00%
27/04/2020,1.90%,0.00%
28/04/2020,7.48%,6.67%
29/04/2020,3.48%,18.75%
30/04/2020,12.61%,0.00%
01/05/2020,1.49%,0.00%
02/05/2020,13.24%,31.58%
03/05/2020,5.19%,0.00%
04/05/2020,3.09%,0.00%
05/05/2020,0.60%,0.00%
06/05/2020,8.33%,0.00%
07/05/2020,0.00%,0.00%
08/05/2020,14.84%,20.00%
09/05/2020,2.39%,0.00%
10/05/2020,1.87%,0.00%
11/05/2020,3.21%,10.00%
12/05/2020,1.33%,0.00%
13/05/2020,0.88%,0.00%
14/05/2020,3.48%,0.00%
15/05/2020,5.46%,3.03%
16/05/2020,0.80%,0.00%
17/05/2020,0.40%,0.00%
18/05/2020,0.39%,0.00%
19/05/2020,1.18%,5.88%
20/05/2020,2.33%,0.00%
21/05/2020,0.76%,5.56%
22/05/2020,1.88%,0.00%
23/05/2020,1.11%,5.26%
24/05/2020,0.73%,0.00%
25/05/2020,0.00%,0.00%
26/05/2020,0.36%,0.00%
27/05/2020,1.08%,2.50%
28/05/2020,0.36%,0.00%
29/05/2020,1.42%,0.00%
30/05/2020,2.11%,4.88%
31/05/2020,1.37%,0.00%
01/06/2020,0.34%,0.00%
02/06/2020,0.34%,0.00%
03/06/2020,4.38%,18.60%
04/06/2020,1.94%,0.00%
05/06/2020,0.32%,0.00%
06/06/2020,3.15%,0.00%
07/06/2020,0.61%,0.00%
08/06/2020,2.74%,0.00%
09/06/2020,3.85%,9.80%
10/06/2020,3.13%,0.00%
11/06/2020,0.83%,0.00%
12/6/2020,2.19%,5.36%
13/06/2020,0.80%,0.00%
14/06/2020,0.53%,0.00%
15/06/2020,1.06%,0.00%
16/06/2020,2.62%,5.08%
17/06/2020,1.28%,1.61%
18/06/2020,2.02%,1.59%
19/06/2020,2.96%,1.56%
20/06/2020,1.44%,0.00%
21/06/2020,2.60%,0.00%
22/06/2020,0.23%,0.00%
23/06/2020,2.76%,0.00%
24/06/2020,2.01%,0.00%
25/06/2020,3.73%,0.00%
26/06/2020,2.11%,0.00%
27/06/2020,2.28%,1.54%
28/06/.2020,1.82%,3.03%
29/06/2020,1.39%,0.00%
30/06/2020,1.57%,0.00%
01/07/2020,1.35%,0.00%
02/07/2020,1.14%,0.00%
03/07/2020,2.45%,1.47%
04/07/2020,1.84%,1.45%
05/07/2020,5.42%,0.00%
06/07/2020,2.23%,0.00%
07/07/2020,1.01%,1.43%
08/07/2020,2.32%,0.00%
09/07/2020,0.97%,2.82%
10/07/2020,3.05%,6.85%
11/07/2020,4.83%,8.97%
12/07/2020,2.53%,2.35%
13/07/2020,0.72%,0.00%
14/07/2020,3.88%,21.84%
15/07/2020,4.71%,16.04%
16/07/2020,3.17%,8.13%
17/07/2020,5.51%,13.53%
18/07/2020,3.04%,5.96%
19/07/2020,2.36%,3.13%
20/07/2020,2.88%,2.42%
21/07/2020,7.95%,4.14%
22/07/2020,3.11%,4.55%
23/07/2020,4.02%,7.61%
24/07/2020,3.68%,11.62%
25/07/2020,5.78%,7.24%
26/07/2020,2.82%,2.95%
27/07/2020,1.54%,0.00%
28/07/2020,5.57%,4.92%
29/07/2020,4.56%,6.64%
30/07/3030,5.36%,4.03%
31/07/2020,3.56%,6.69%
01/08/2020,0.49%,0.33%
02/08/2020,5.79%,5.92%
03/08/2020,1.45%,0.31%
04/08/2020,3.90%,7.12%
05/08/2020,4.19%,2.02%
06/08/2020,2.16%,1.98%
07/08/2020,5.76%,2.22%
08/08/2020,1.95%,1.90%
09/08/2020,2.89%,0.80%
10/08/2020,2.38%,1.32%
11/08/2020,6.16%,4.96%
12/08/2020,2.68%,1.49%
13/08/2020,1.09%,3.92%
14/08/2020,4.60%,2.83%
15/08/2020,2.51%,2.52%
16/08/2020,3.77%,3.36%
17/08/2020,4.90%,6.49%
18/08/2020,3.74%,0.61%
19/08/2020,3.53%,3.64%
20/08/2020,1.05%,4.48%
21/08/2020,7.23%,6.34%
22/08/2020,4.46%,9.65%
23/08/2020,2.65%,3.84%
24/08/2020,1.42%,3.39%
25/08/2020,4.48%,3.13%
26/08/2020,4.08%,7.08%