TANGGAL,NEW_CASE,T_CASE,SEMBUH,T_SEMBUH,MENINGGAL,T_MENINGGAL,AKTIF
21/03/2020,1,1,0,0,0,0,1
22/03/2020,0,1,0,0,0,0,1
23/03/2020,0,1,0,0,0,0,1
24/03/2020,0,1,0,0,0,0,1
25/03/2020,0,1,0,0,0,0,1
26/03/2020,0,1,0,0,0,0,1
27/03/2020,0,1,0,0,0,0,1
28/03/2020,0,1,0,0,0,0,1
29/03/2020,0,1,0,0,0,0,1
30/03/2020,0,1,0,0,0,0,1
31/03/2020,0,1,0,0,0,0,1
01/04/2020,0,1,0,0,0,0,1
02/04/2020,0,1,0,0,0,0,1
03/04/2020,1,2,0,0,0,0,2
04/04/2020,1,3,0,0,0,0,3
05/04/2020,1,4,0,0,0,0,4
06/04/2020,0,4,0,0,0,0,4
07/04/2020,0,4,0,0,0,0,4
08/04/2020,0,4,0,0,0,0,4
09/04/2020,0,4,0,0,0,0,4
10/04/2020,1,5,0,0,0,0,5
11/04/2020,0,5,0,0,0,0,5
12/04/2020,0,5,0,0,0,0,5
13/04/2020,0,5,0,0,0,0,5
14/04/2020,0,5,0,0,0,0,5
15/04/2020,0,5,1,1,0,0,4
16/04/2020,0,5,0,1,0,0,4
17/04/2020,0,5,1,2,0,0,3
18/04/2020,0,5,0,2,0,0,3
19/04/2020,2,7,0,2,0,0,5
20/04/2020,0,7,0,2,0,0,5
21/04/2020,2,9,0,2,0,0,7
22/04/2020,0,9,0,2,0,0,7
23/04/2020,1,10,0,2,0,0,8
24/04/2020,0,10,0,2,0,0,8
25/04/2020,0,10,0,2,0,0,8
26/04/2020,5,15,0,2,0,0,13
27/04/2020,0,15,0,2,0,0,13
28/04/2020,1,16,0,2,0,0,14
29/04/2020,3,19,0,2,0,0,17
30/04/2020,0,19,0,2,0,0,17
01/05/2020,0,19,0,2,0,0,17
02/05/2020,6,25,0,2,0,0,23
03/05/2020,0,25,0,2,0,0,23
04/05/2020,0,25,0,2,0,0,23
05/05/2020,0,25,0,2,0,0,23
06/05/2020,0,25,0,2,0,0,23
07/05/2020,0,25,0,2,0,0,23
08/05/2020,5,30,4,6,0,0,24
09/05/2020,0,30,0,6,0,0,24
10/05/2020,0,30,1,7,0,0,23
11/0/2020,3,33,2,9,1,1,23
12/05/2020,0,33,0,9,0,1,23
13/05/2020,0,33,0,9,0,1,23
14/05/2020,0,33,0,9,0,1,23
15/05/2020,1,34,3,12,0,1,21
16/05/2020,0,34,0,12,0,1,21
17/05/2020,0,34,0,12,0,1,21
18/05/2020,0,34,6,18,0,1,15
19/05/2020,2,36,0,18,0,1,17
20/05/2020,0,36,1,19,0,1,16
21/05/2020,2,38,6,25,0,1,12
22/05/2020,0,38,0,25,0,1,12
23/05/2020,2,40,3,28,0,1,11
24/05/2020,0,40,0,28,0,1,11
25/05/2020,0,40,0,28,0,1,11
26/05/2020,0,40,0,28,0,1,11
27/05/2020,1,41,6,34,0,1,6
28/05/2020,0,41,0,34,0,1,6
29/05/2020,0,41,0,34,0,1,6
30/05/2020,2,43,1,35,0,1,7
31/05/2020,0,43,0,35,0,1,7
01/06/2020,0,43,0,35,0,1,7
02/06/2020,0,43,0,35,0,1,7
03/06/2020,8,51,0,35,0,1,15
04/06/2020,0,51,0,35,0,1,15
05/06/2020,0,51,3,38,0,1,12
06/06/2020,0,51,4,42,0,1,8
07/06/2020,0,51,0,42,0,1,8
08/06/2020,0,51,0,42,0,1,8
09/06/2020,5,56,0,42,0,1,13
10/06/2020,0,56,0,42,0,1,13
11/06/2020,0,56,5,47,0,1,8
12/06/2020,3,59,0,47,0,1,11
13/06/2020,0,59,0,47,0,1,11
14/06/2020,0,59,0,47,0,1,11
15/06/2020,0,59,0,47,0,1,11
16/06/2020,3,62,5,52,0,1,9
17/06/2020,1,63,1,53,0,1,9
18/06/2020,1,64,0,53,0,1,10
19/06/2020,1,65,0,53,0,1,11
20/06/2020,0,65,0,53,0,1,11
21/06/2020,0,65,0,53,0,1,11
22/06/2020,0,65,0,53,0,1,11
23/06/2020,0,65,0,53,0,1,11
24/06/2020,0,65,6,59,0,1,5
25/06/2020,0,65,1,60,0,1,4
26/06/2020,0,65,0,60,0,1,4
27/06/2020,1,66,0,60,0,1,5
28/06/2020,2,68,0,60,0,1,7
29/06/2020,0,68,0,60,0,1,7
30/06/2020,0,68,0,60,0,1,7
01/07/2020,0,68,0,60,0,1,7
02/07/2020,0,68,1,61,0,1,6
03/07/2020,1,69,0,61,0,1,7
04/07/2020,1,70,5,66,0,1,3
05/07/2020,0,70,0,66,0,1,3
06/07/2020,0,70,1,67,0,1,2
07/07/2020,1,71,0,67,1,2,2
08/07/2020,0,71,0,67,0,2,2
09/07/2020,2,73,0,67,0,2,4
10/07/2020,5,78,0,67,1,3,8
11/07/2020,7,85,1,68,2,5,12
12/07/2020,2,87,0,68,0,5,14
13/07/2020,0,87,0,68,0,5,14
14/07/2020,19,106,0,68,0,5,33
15/07/2020,17,123,0,68,0,5,50
16/07/2020,10,133,0,68,0,5,60
17/07/2020,18,151,3,71,0,5,75
18/07/2020,9,160,0,71,1,6,83
19/07/2020,5,165,19,90,0,6,69
20/07/2020,4,169,6,96,1,7,66
21/07/2020,7,176,7,103,0,7,66
22/07/2020,8,184,8,111,2,9,64
23/07/2020,14,198,7,118,0,9,71
24/07/2020,23,221,5,123,1,10,88
25/07/2020,16,237,3,126,0,10,101
26/07/2020,7,244,0,126,0,10,108
27/07/2020,0,244,10,136,0,10,98
28/07/2020,12,256,10,146,0,10,100
29/07/2020,17,273,6,152,0,10,111
30/07/2020,11,284,7,159,0,10,115
31/07/2020,19,303,4,163,1,11,129
01/08/2020,1,304,11,174,0,11,119
02/08/2020,18,322,2,176,0,11,135
03/08/2020,1,323,1,177,1,12,134
04/08/2020,23,346,4,181,0,12,153
05/08/2020,7,353,23,204,0,12,137
06/08/2020,7,360,2,206,0,12,142
07/08/2020,8,368,23,229,1,13,126
08/08/2020,7,375,19,248,1,14,113
09/08/2020,3,378,0,248,0,14,116
10/08/2020,5,383,32,280,0,14,89
11/08/2020,19,402,30,310,1,15,77
12/08/2020,6,408,9,319,2,17,72
13/08/2020,16,424,7,326,1,18,80
14/08/2020,12,436,9,335,2,20,81
15/08/2020,11,447,5,340,0,20,87
16/08/2020,15,462,2,342,0,20,100
17/08/2020,30,492,7,349,0,20,123
18/08/2020,3,495,16,365,0,20,110
19/08/2020,18,513,9,374,0,20,119
20/08/2020,23,536,13,387,1,21,128
21/08/2020,34,570,9,396,1,22,152
22/08/2020,55,625,12,408,0,22,195
23/08/2020,24,649,15,423,2,24,202
24/08/2020,22,671,40,463,2,26,182
25/08/2020,21,692,17,480,1,27,185
26/08/2020,49,741,20,500,2,29,212
27/08/2020,18,759,19,519,2,31,209
28/08/2020,52,811,15,534,2,33,244
29/08/2020,36,847,10,544,3,36,267
30/08/2020,39,886,15,559,2,38,289
31/08/2020,52,938,10,569,1,39,330
01/09/2020,43,981,16,585,0,39,357
02/09/2020,22,1003,12,597,2,41,365
03/09/2020,35,1038,32,629,0,41,368
04/09/2020,29,1067,11,640,1,42,385
05/09/2020,60,1127,62,702,3,45,380
06/09/2020,41,1168,10,712,2,47,409